gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT3G04943	0	0	0	0	0	0	0	0	0
AT3G04945	0	0	0	0	0	0	0	0	0
AT3G04950	118	91	99	65	44	41	40	69	58
AT3G04955	0	0	0	0	0	0	0	0	0
AT3G04960	76	24	38	125	56	54	25	53	34
AT3G04965	20	25	20	22	12	12	13	18	16
AT3G04970	314	344	297	272	162	242	117	234	187
AT3G04975	0	4	0	2	0	2	2	2	0
AT3G04980	153	248	151	146	105	157	103	121	140
AT3G04985	0	0	0	1	0	0	1	1	0
AT3G04990	0	0	0	0	0	0	0	0	0
AT3G04995	4	0	12	6	1	8	8	4	2
AT3G05000	672	556	680	566	449	325	479	656	411
AT3G05005	0	0	0	0	0	0	0	0	0
AT3G05010	515	629	571	487	437	470	393	487	444
AT3G05015	19	33	33	10	9	12	12	1	8
AT3G05020	334	255	239	204	198	104	201	261	181
AT3G05025	0	0	0	0	0	0	0	0	0
AT3G05030	580	647	670	921	1079	1219	480	435	481
AT3G05035	4	6	11	5	3	24	5	4	7
AT3G05040	664	697	599	296	396	331	277	279	194
AT3G05045	0	0	0	0	0	0	0	0	0
AT3G05050	636	757	532	419	479	370	346	417	344
AT3G05055	4	1	1	0	0	0	19	4	9
AT3G05060	1272	959	1165	390	297	284	349	420	263
AT3G05070	527	463	504	432	336	278	278	409	295
AT3G05075	51	31	41	67	71	41	23	27	14
AT3G05080	83	112	115	77	44	68	57	47	52
AT3G05085	0	2	3	1	0	0	0	1	2
AT3G05090	1180	1810	1445	1338	1042	1146	698	659	824
AT3G05095	4	0	2	0	0	0	0	1	0
AT3G05100	781	881	747	636	513	536	161	280	233
AT3G05105	5	6	10	0	2	0	1	1	1
AT3G05110	9	4	4	2	0	0	0	0	3
AT3G05115	0	0	0	0	0	0	0	0	0
AT3G05120	1071	1282	1070	772	576	834	360	1064	610
AT3G05125	0	0	0	0	0	0	0	0	0
AT3G05130	414	317	456	100	52	112	58	134	102
AT3G05135	13	10	9	40	59	47	52	51	47
AT3G05140	55	9	30	12	12	2	0	8	6
AT3G05145	31	34	15	13	10	9	124	133	108
AT3G05150	16	0	16	2	1	0	0	4	6
AT3G05152	3	6	0	0	0	0	0	0	0
AT3G05155	4	2	0	1	4	0	0	0	0
AT3G05160	2944	3941	3522	3760	2711	3029	1500	1391	2003
AT3G05165	2016	5063	2729	2297	1419	2214	1803	938	2091
AT3G05170	93	137	173	150	81	108	96	125	76
AT3G05175	0	0	0	0	0	0	0	0	0
AT3G05180	272	170	245	115	195	85	95	191	107
AT3G05185	0	0	0	0	0	0	0	0	0
AT3G05190	58	30	66	45	25	44	51	26	11
AT3G05195	0	1	0	0	0	0	0	0	0
AT3G05200	1073	1987	2163	4326	3359	3783	2426	1964	2350
AT3G05205	0	0	0	0	0	0	0	0	0
AT3G05210	623	834	775	512	349	470	362	400	451
AT3G05215	0	0	0	0	0	0	0	0	0
AT3G05220	5679	11475	10054	6782	8005	5739	15933	12029	11432
AT3G05225	0	0	0	0	0	0	0	0	0
AT3G05230	367	434	388	334	252	206	307	355	311
AT3G05235	0	0	0	0	0	0	0	0	0
AT3G05240	23	35	24	24	6	9	10	12	13
AT3G05245	6	1	3	11	2	4	0	6	3
AT3G05250	331	416	400	388	262	277	161	228	270
AT3G05260	6	2	9	1	3	2	1	1	4
AT3G05265	1	0	0	0	0	0	0	0	0
AT3G05270	466	654	612	457	360	374	219	341	229
AT3G05275	0	0	0	0	0	0	0	0	0
AT3G05280	726	702	699	460	469	501	532	721	479
AT3G05285	189	145	188	138	140	82	128	117	151
AT3G05290	708	751	748	585	509	516	381	459	504
AT3G05295	0	0	0	0	0	0	1	0	0
AT3G05300	0	0	0	0	0	0	0	0	0
AT3G05305	0	0	2	0	0	0	1	0	0
AT3G05310	0	0	1	6	1	1	12	3	15
AT3G05315	0	1	0	0	3	1	2	3	2
AT3G05320	129	110	164	1110	1324	1062	939	555	755
AT3G05325	2	2	5	1	0	0	2	0	5
AT3G05327	0	4	5	8	4	9	10	9	3
AT3G05330	324	101	156	20	29	38	30	85	29
AT3G05335	9	4	12	4	8	1	9	5	9
AT3G05340	236	200	173	166	130	180	94	115	122
AT3G05345	317	319	359	458	320	382	152	194	194
AT3G05350	1812	1460	1954	1537	1814	1412	1398	1657	1576
AT3G05355	18	25	17	14	13	11	8	24	22
AT3G05360	53	148	137	85	150	87	125	55	73
AT3G05365	15	12	5	10	10	4	2	6	0
AT3G05370	684	524	598	1737	2140	1250	494	560	502
AT3G05375	0	0	0	0	1	0	0	0	0
AT3G05380	618	968	667	569	634	406	618	570	571
AT3G05385	2	0	0	3	0	1	0	0	0
AT3G05390	5	73	31	17	74	15	37	10	21
AT3G05395	2	0	0	3	0	1	1	0	0
AT3G05400	74	75	56	56	68	20	9	15	10
AT3G05410	806	634	926	807	615	518	455	721	474
AT3G05420	1531	1290	1328	741	888	667	961	1175	874
AT3G05425	0	0	0	0	0	0	0	0	0
AT3G05430	112	121	90	100	54	83	68	85	117
